year,indicator,LifeZone,pool_tc_sum,area_sum,pool_tc_per_ha,run
1985,Deadwood,Cool temperate wet forest,21531542.520741254,1459666.8536397922,14.750997782165628,"Modified Decay, Turnover and Spinup parameters"
1985,Deadwood,Warm temperate moist forest,16053.977661605439,1205.3539609117215,13.318890701169904,"Modified Decay, Turnover and Spinup parameters"
1985,Litter,Boreal rain forest,3364311.297847397,109148.48865778596,30.82325132687404,"Modified Decay, Turnover and Spinup parameters"
1985,Litter,Boreal wet forest,2960579.4522347823,108616.23682908775,27.257245681355904,"Modified Decay, Turnover and Spinup parameters"
1985,Litter,Cool temperate moist forest,8489378.923511073,303464.33501748473,27.974881868809856,"Modified Decay, Turnover and Spinup parameters"
1985,Litter,Cool temperate rain forest,2146499.144266682,69789.00250735159,30.75698272146202,"Modified Decay, Turnover and Spinup parameters"
1985,Litter,Cool temperate wet forest,39991174.691748925,1459666.8536397922,27.397467163159757,"Modified Decay, Turnover and Spinup parameters"
1985,Litter,Warm temperate moist forest,31080.452650600964,1205.3539609117215,25.78533249029349,"Modified Decay, Turnover and Spinup parameters"
1985,Soil Carbon,Boreal rain forest,7730608.724607547,109148.48865778596,70.82653016704043,"Modified Decay, Turnover and Spinup parameters"
1985,Soil Carbon,Boreal wet forest,7451495.271093568,108616.23682908775,68.60387994125419,"Modified Decay, Turnover and Spinup parameters"
1985,Soil Carbon,Cool temperate moist forest,20915829.732507445,303464.33501748473,68.92351857855829,"Modified Decay, Turnover and Spinup parameters"
1985,Soil Carbon,Cool temperate rain forest,4939120.978164371,69789.00250735159,70.77219620160187,"Modified Decay, Turnover and Spinup parameters"
1985,Soil Carbon,Cool temperate wet forest,99971171.67348832,1459666.8536397922,68.4890332504314,"Modified Decay, Turnover and Spinup parameters"
1985,Soil Carbon,Warm temperate moist forest,81414.79150630393,1205.3539609117215,67.54430162964108,"Modified Decay, Turnover and Spinup parameters"
1985,Total Biomass,Boreal rain forest,12371118.624340834,109148.48865778596,113.34209732512277,"Modified Decay, Turnover and Spinup parameters"
1985,Total Biomass,Boreal wet forest,12310792.08577113,108616.23682908775,113.34209732512353,"Modified Decay, Turnover and Spinup parameters"
1985,Total Biomass,Cool temperate moist forest,34395284.194255106,303464.33501748473,113.34209732512174,"Modified Decay, Turnover and Spinup parameters"
1985,Total Biomass,Cool temperate rain forest,7910031.914411491,69789.00250735159,113.34209732512292,"Modified Decay, Turnover and Spinup parameters"
1985,Total Biomass,Cool temperate wet forest,165441702.58751303,1459666.8536397922,113.34209732513371,"Modified Decay, Turnover and Spinup parameters"
1985,Total Biomass,Warm temperate moist forest,136617.3459488787,1205.3539609117215,113.34209732512288,"Modified Decay, Turnover and Spinup parameters"
1986,Deadwood,Boreal rain forest,1897246.4258043957,109148.48865778596,17.382250997105842,"Modified Decay, Turnover and Spinup parameters"
1986,Deadwood,Boreal wet forest,1562449.3126762658,108616.23682908775,14.385043694110356,"Modified Decay, Turnover and Spinup parameters"
1986,Deadwood,Cool temperate moist forest,4593403.491907474,303464.33501748473,15.13655135666211,"Modified Decay, Turnover and Spinup parameters"
1986,Deadwood,Cool temperate rain forest,1209749.823857937,69789.00250735159,17.334390525649106,"Modified Decay, Turnover and Spinup parameters"
1986,Deadwood,Cool temperate wet forest,21518640.957274124,1459666.8536397922,14.74215907802231,"Modified Decay, Turnover and Spinup parameters"
1986,Deadwood,Warm temperate moist forest,16053.84885350284,1205.3539609117215,13.318783837869349,"Modified Decay, Turnover and Spinup parameters"
1986,Litter,Boreal rain forest,3379294.89010993,109148.48865778596,30.960528465996976,"Modified Decay, Turnover and Spinup parameters"
1986,Litter,Boreal wet forest,2972547.2656940594,108616.23682908775,27.367430068227172,"Modified Decay, Turnover and Spinup parameters"
1986,Litter,Cool temperate moist forest,8524684.130492078,303464.33501748473,28.091222416633936,"Modified Decay, Turnover and Spinup parameters"
1986,Litter,Cool temperate rain forest,2156034.942983779,69789.00250735159,30.893620277158455,"Modified Decay, Turnover and Spinup parameters"
1986,Litter,Cool temperate wet forest,40155393.02341283,1459666.8536397922,27.509971143951276,"Modified Decay, Turnover and Spinup parameters"
1986,Litter,Warm temperate moist forest,31200.947908576723,1205.3539609117215,25.885299190435763,"Modified Decay, Turnover and Spinup parameters"
1986,Soil Carbon,Boreal rain forest,7734409.274327126,109148.48865778596,70.86135016103499,"Modified Decay, Turnover and Spinup parameters"
1986,Soil Carbon,Boreal wet forest,7454996.112205061,108616.23682908775,68.6361112283407,"Modified Decay, Turnover and Spinup parameters"
1986,Soil Carbon,Cool temperate moist forest,20925727.00256279,303464.33501748473,68.9561328561299,"Modified Decay, Turnover and Spinup parameters"
